game_pk,team_nickname,promotion_name
572314,mlb,Bobblehead
572315,mlb,Fireworks
572316,mlb,Fireworks
572318,mlb,Fireworks
572320,mlb,Fireworks
572322,mlb,Fireworks
572324,mlb,Fireworks
572325,mlb,Bobblehead
572326,mlb,Fireworks
572329,mlb,Bobblehead
572331,mlb,Bobblehead
572333,mlb,Fireworks
572336,mlb,Fireworks
572337,mlb,Bobblehead
572338,mlb,Fireworks
572341,mlb,Bobblehead
572344,mlb,Fireworks
572345,mlb,Fireworks
572374,mlb,Bobblehead
572388,mlb,Fireworks
572394,mlb,Fireworks
572411,mlb,Fireworks
572417,mlb,Fireworks
572422,mlb,Fireworks
572441,mlb,Fireworks
572454,mlb,Fireworks
572460,mlb,Fireworks
572462,mlb,Bobblehead
572465,mlb,Fireworks
572481,mlb,Fireworks
572488,mlb,Fireworks
572490,mlb,Fireworks
572494,mlb,Fireworks
572499,mlb,Fireworks
572509,mlb,Fireworks
572512,mlb,Fireworks
572524,mlb,Fireworks
572527,mlb,Fireworks
572528,mlb,Fireworks
572534,mlb,Fireworks
572541,mlb,Fireworks
572543,mlb,Bobblehead
572543,mlb,Fireworks
572544,mlb,Fireworks
572551,mlb,Fireworks
572557,mlb,Fireworks
572558,mlb,Fireworks
572559,mlb,Fireworks
572560,mlb,Fireworks
572566,mlb,Fireworks
572567,mlb,Fireworks
572573,mlb,Fireworks
572574,mlb,Fireworks
572579,mlb,Fireworks
572580,mlb,Bobblehead
572580,mlb,Fireworks
572586,mlb,Fireworks
572587,mlb,Bobblehead
572587,mlb,Fireworks
572595,mlb,Fireworks
572596,mlb,Fireworks
572600,mlb,Fireworks
572602,mlb,Bobblehead
572602,mlb,Fireworks
572607,mlb,Fireworks
572608,mlb,Fireworks
572617,mlb,Fireworks
572618,mlb,Bobblehead
572618,mlb,Fireworks
572627,mlb,Fireworks
572774,mlb,Fireworks
572778,mlb,Bobblehead
572786,mlb,Bobblehead
572798,mlb,Fireworks
572804,mlb,Bobblehead
572818,mlb,Fireworks
572825,mlb,Fireworks
572908,mlb,Fireworks
572916,mlb,Fireworks
572922,mlb,Fireworks
572928,mlb,Fireworks
572932,mlb,Bobblehead
572933,mlb,Fireworks
572948,mlb,Fireworks
572966,mlb,Fireworks
573093,mlb,Fireworks
573150,mlb,Fireworks
573190,mlb,Bobblehead
573348,mlb,Fireworks
573358,mlb,Fireworks
573369,mlb,Fireworks
573374,mlb,Fireworks
573385,mlb,Fireworks
